device_id,measurement_id,room_name,room_id,predict_room,distance,optional_value,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,algorithm,n_estimators,max_depth,algorithm_value,duration,correct
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.425,-1,all,-100,0,-100,none,random_forest,50,9,sqrt,3.9784440994262695,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.44,-1,all,-100,0,-100,none,random_forest,50,9,log2,4.110599517822266,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.33,-1,all,-100,0,-100,none,random_forest,50,9,,3.8810882568359375,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.3733333333333333,-1,all,-100,0,-100,none,random_forest,50,9,0.1,3.83601188659668,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.34,-1,all,-100,0,-100,none,random_forest,50,9,0.2,3.8464412689208984,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_445,0.32,-1,all,-100,0,-100,none,random_forest,50,9,0.3,3.968907356262207,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_445,0.34,-1,all,-100,0,-100,none,random_forest,50,9,0.4,3.9190921783447266,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.4,-1,all,-100,0,-100,none,random_forest,50,9,0.5,4.0704002380371085,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.34,-1,all,-100,0,-100,none,random_forest,50,9,0.6,3.8470325469970703,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.58,-1,all,-100,0,-100,none,random_forest,50,9,0.7,3.8466367721557617,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.34,-1,all,-100,0,-100,none,random_forest,50,9,0.8,3.928135871887207,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.2866666666666666,-1,all,-100,0,-100,none,random_forest,50,9,0.9,4.021368980407715,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.4666666666666666,-1,all,-100,0,-100,none,random_forest,50,9,1,4.046988487243652,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.46,-1,all,-100,0,-100,none,random_forest,50,9,2,3.9846153259277344,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.44,-1,all,-100,0,-100,none,random_forest,50,9,3,3.869403839111328,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_445,0.48,-1,all,-100,0,-100,none,random_forest,50,9,4,3.8332920074462895,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.4,-1,all,-100,0,-100,none,random_forest,50,9,5,3.8286962509155273,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.41,-1,all,-100,0,-100,none,random_forest,50,9,6,4.037511825561523,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.46,-1,all,-100,0,-100,none,random_forest,50,9,7,3.8085756301879887,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_445,0.38,-1,all,-100,0,-100,none,random_forest,50,9,8,3.884908676147461,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.37,-1,all,-100,0,-100,none,random_forest,50,9,9,4.026747703552246,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,422,WH_C_444,21,WH_C_350,0.44,-1,all,-100,0,-100,none,random_forest,50,9,10,4.313906669616699,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,sqrt,4.04698371887207,True
