device_id,measurement_id,room_name,room_id,predict_room,distance,optional_value,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,measurements_per_room,measurements_per_corridor,weights,algorithm,algorithm_value,duration,correct
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,18.027756377319943,-1,eduroam,-100,0,-100,none,1,1,distance,knn_euclidean,5,3.6148605346679688,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,18.027756377319943,-1,eduroam,-100,0,-100,none,1,3,distance,knn_euclidean,5,3.6687803268432617,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,18.027756377319943,-1,eduroam,-100,0,-100,none,1,5,distance,knn_euclidean,5,3.596896171569824,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,13.74772708486752,-1,eduroam,-100,0,-100,none,1,7,distance,knn_euclidean,5,3.658644676208496,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,18.027756377319943,-1,eduroam,-100,0,-100,none,1,9,distance,knn_euclidean,5,3.6021642684936523,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,13.74772708486752,-1,eduroam,-100,0,-100,none,1,11,distance,knn_euclidean,5,3.632692337036133,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_35_corridor,13.74772708486752,-1,eduroam,-100,0,-100,none,1,13,distance,knn_euclidean,5,3.6746110916137695,Not False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,13.74772708486752,-1,eduroam,-100,0,-100,none,1,15,distance,knn_euclidean,5,3.6864519119262695,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_35_corridor,13.74772708486752,-1,eduroam,-100,0,-100,none,1,17,distance,knn_euclidean,5,3.689596176147461,Not False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_35_corridor,13.74772708486752,-1,eduroam,-100,0,-100,none,1,19,distance,knn_euclidean,5,3.685732841491699,Not False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,18.027756377319943,-1,eduroam,-100,0,-100,none,3,1,distance,knn_euclidean,5,3.7320394515991215,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,13.74772708486752,-1,eduroam,-100,0,-100,none,3,3,distance,knn_euclidean,5,3.6615962982177734,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,13.74772708486752,-1,eduroam,-100,0,-100,none,3,5,distance,knn_euclidean,5,3.6284685134887695,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,18.027756377319943,-1,eduroam,-100,0,-100,none,3,7,distance,knn_euclidean,5,3.6313962936401367,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_35_corridor,13.74772708486752,-1,eduroam,-100,0,-100,none,3,9,distance,knn_euclidean,5,3.6602087020874023,Not False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_35_corridor,13.74772708486752,-1,eduroam,-100,0,-100,none,3,11,distance,knn_euclidean,5,3.6116991043090816,Not False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,18.027756377319943,-1,eduroam,-100,0,-100,none,3,13,distance,knn_euclidean,5,3.6523761749267583,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_35_corridor,13.74772708486752,-1,eduroam,-100,0,-100,none,3,15,distance,knn_euclidean,5,3.7480602264404297,Not False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_35_corridor,13.74772708486752,-1,eduroam,-100,0,-100,none,3,17,distance,knn_euclidean,5,3.677592277526856,Not False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_35_corridor,13.74772708486752,-1,eduroam,-100,0,-100,none,3,19,distance,knn_euclidean,5,3.7372350692749023,Not False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,13.74772708486752,-1,eduroam,-100,0,-100,none,5,1,distance,knn_euclidean,5,3.701547622680664,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,13.74772708486752,-1,eduroam,-100,0,-100,none,5,3,distance,knn_euclidean,5,3.6712789535522465,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,16.06237840420901,-1,eduroam,-100,0,-100,none,5,5,distance,knn_euclidean,5,3.7267932891845703,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,16.09347693943108,-1,eduroam,-100,0,-100,none,5,7,distance,knn_euclidean,5,3.763339996337891,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,18.027756377319943,-1,eduroam,-100,0,-100,none,5,9,distance,knn_euclidean,5,3.7147960662841792,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,16.06237840420901,-1,eduroam,-100,0,-100,none,5,11,distance,knn_euclidean,5,3.7557640075683594,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_35_corridor,13.74772708486752,-1,eduroam,-100,0,-100,none,5,13,distance,knn_euclidean,5,3.850303649902344,Not False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,16.73320053068151,-1,eduroam,-100,0,-100,none,5,15,distance,knn_euclidean,5,3.760019302368164,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_35_corridor,13.74772708486752,-1,eduroam,-100,0,-100,none,5,17,distance,knn_euclidean,5,3.7517995834350586,Not False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_335,13.74772708486752,-1,eduroam,-100,0,-100,none,5,19,distance,knn_euclidean,5,3.7978754043579106,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_335,16.09347693943108,-1,eduroam,-100,0,-100,none,7,1,distance,knn_euclidean,5,3.763872146606445,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,13.74772708486752,-1,eduroam,-100,0,-100,none,7,3,distance,knn_euclidean,5,3.7363319396972656,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,14.560219778561036,-1,eduroam,-100,0,-100,none,7,5,distance,knn_euclidean,5,3.739380836486816,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,16.09347693943108,-1,eduroam,-100,0,-100,none,7,7,distance,knn_euclidean,5,3.781095504760742,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,14.560219778561036,-1,eduroam,-100,0,-100,none,7,9,distance,knn_euclidean,5,3.7626352310180664,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,16.06237840420901,-1,eduroam,-100,0,-100,none,7,11,distance,knn_euclidean,5,3.7432603836059566,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,16.06237840420901,-1,eduroam,-100,0,-100,none,7,13,distance,knn_euclidean,5,3.920860290527344,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_335,13.74772708486752,-1,eduroam,-100,0,-100,none,7,15,distance,knn_euclidean,5,3.803824424743653,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_335,13.74772708486752,-1,eduroam,-100,0,-100,none,7,17,distance,knn_euclidean,5,3.793298721313477,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,13.74772708486752,-1,eduroam,-100,0,-100,none,7,19,distance,knn_euclidean,5,3.7855081558227535,False
