weights,algorithm,algorithm_value,room_name,room_count,correct_percent
uniform,knn_euclidean,7,WH_C_335,18,77.77777777777779
uniform,knn_euclidean,7,WH_C_340,8,75.0
uniform,knn_euclidean,7,WH_C_350,18,77.77777777777779
uniform,knn_euclidean,7,WH_C_351,14,78.57142857142857
uniform,knn_euclidean,7,WH_C_352,6,0.0
uniform,knn_euclidean,7,WH_C_353,2,0.0
uniform,knn_euclidean,7,WH_C_354,15,33.33333333333333
uniform,knn_euclidean,7,WH_C_355,13,46.15384615384615
uniform,knn_euclidean,7,WH_C_356,8,62.5
uniform,knn_euclidean,7,WH_C_357,12,75.0
uniform,knn_euclidean,7,WH_C_401,13,84.61538461538461
uniform,knn_euclidean,7,WH_C_402,15,40.0
uniform,knn_euclidean,7,WH_C_403,10,20.0
uniform,knn_euclidean,7,WH_C_404,12,41.66666666666667
uniform,knn_euclidean,7,WH_C_405,6,0.0
uniform,knn_euclidean,7,WH_C_406,8,37.5
uniform,knn_euclidean,7,WH_C_414,16,93.75
uniform,knn_euclidean,7,WH_C_424,16,75.0
uniform,knn_euclidean,7,WH_C_442,10,70.0
uniform,knn_euclidean,7,WH_C_444,14,85.71428571428571
uniform,knn_euclidean,7,WH_C_445,17,76.47058823529412
uniform,knn_euclidean,7,WH_C_446,5,100.0
uniform,knn_euclidean,7,WH_C_447,6,0.0
uniform,knn_euclidean,7,WH_C_455,11,18.181818181818183
uniform,knn_euclidean,7,WH_C_456,18,83.33333333333334
uniform,knn_euclidean,7,WH_C_457,16,75.0
uniform,knn_euclidean,7,WH_C_458,17,58.82352941176471
uniform,knn_euclidean,7,WH_C_606,15,93.33333333333333
uniform,knn_euclidean,7,WH_C_624,2,0.0
uniform,knn_euclidean,7,WH_C_625,15,73.33333333333333
uniform,knn_euclidean,7,WH_C_635,10,80.0
uniform,knn_euclidean,7,WH_C_638,10,60.0
uniform,knn_euclidean,7,WH_C_639,2,0.0
uniform,knn_euclidean,7,WH_C_640,10,80.0
uniform,knn_euclidean,9,WH_C_334,19,89.47368421052632
uniform,knn_euclidean,9,WH_C_335,18,72.22222222222221
uniform,knn_euclidean,9,WH_C_340,8,75.0
uniform,knn_euclidean,9,WH_C_350,18,72.22222222222221
uniform,knn_euclidean,9,WH_C_351,14,64.28571428571429
uniform,knn_euclidean,9,WH_C_352,6,0.0
uniform,knn_euclidean,9,WH_C_353,2,0.0
uniform,knn_euclidean,9,WH_C_354,15,40.0
uniform,knn_euclidean,9,WH_C_355,13,46.15384615384615
uniform,knn_euclidean,9,WH_C_356,8,87.5
uniform,knn_euclidean,9,WH_C_357,12,58.333333333333336
uniform,knn_euclidean,9,WH_C_401,13,84.61538461538461
uniform,knn_euclidean,9,WH_C_402,15,40.0
uniform,knn_euclidean,9,WH_C_403,10,30.0
uniform,knn_euclidean,9,WH_C_404,12,41.66666666666667
uniform,knn_euclidean,9,WH_C_405,6,0.0
uniform,knn_euclidean,9,WH_C_406,8,25.0
uniform,knn_euclidean,9,WH_C_414,16,93.75
uniform,knn_euclidean,9,WH_C_424,16,75.0
uniform,knn_euclidean,9,WH_C_442,10,70.0
uniform,knn_euclidean,9,WH_C_444,14,85.71428571428571
uniform,knn_euclidean,9,WH_C_445,17,76.47058823529412
uniform,knn_euclidean,9,WH_C_446,5,40.0
uniform,knn_euclidean,9,WH_C_447,6,16.666666666666664
uniform,knn_euclidean,9,WH_C_455,11,18.181818181818183
uniform,knn_euclidean,9,WH_C_456,18,83.33333333333334
uniform,knn_euclidean,9,WH_C_457,16,68.75
uniform,knn_euclidean,9,WH_C_458,17,29.411764705882355
uniform,knn_euclidean,9,WH_C_606,15,93.33333333333333
uniform,knn_euclidean,9,WH_C_624,2,0.0
uniform,knn_euclidean,9,WH_C_625,15,80.0
uniform,knn_euclidean,9,WH_C_635,10,80.0
