device_id,measurement_id,room_name,room_id,predict_room,distance,router_selection,handle_missing_values_strategy,router_presence_threshold,value_scaling_strategy,algorithm,algorithm_value,duration,correct
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,22.67156809750927,all,-100,0,none,knn_euclidean,5.0,3.918335914611816,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,22.67156809750927,all,-100,0,none,knn_euclidean,7.0,4.010112762451172,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,22.67156809750927,all,-100,0,none,knn_euclidean,9.0,3.9189281463623047,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,0.0343642611683848,all,-100,0,none,knn_sorensen,5.0,3.9116077423095703,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,0.0343642611683848,all,-100,0,none,knn_sorensen,7.0,3.846923828125,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,0.0343642611683848,all,-100,0,none,knn_sorensen,9.0,3.9725761413574223,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,0.7859488772528687,all,-100,0,none,svm_linear,0.001,3.912888526916504,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_635,0.7665278749672111,all,-100,0,none,svm_linear,0.005,3.9144287109375,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,0.6953484433616755,all,-100,0,none,svm_rbf,5.0,3.928324699401856,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,0.7138672019086985,all,-100,0,none,svm_rbf,1.0,3.9167604446411137,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,0.7196750501150628,all,-100,0,none,svm_rbf,0.5,3.9309597015380864,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,12.727922061357855,eduroam,-100,0,none,knn_euclidean,5.0,3.9882488250732417,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,12.727922061357855,eduroam,-100,0,none,knn_euclidean,7.0,3.964055061340332,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,12.727922061357855,eduroam,-100,0,none,knn_euclidean,9.0,3.892791748046875,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,0.0262096774193548,eduroam,-100,0,none,knn_sorensen,5.0,3.918643951416016,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,0.0262096774193548,eduroam,-100,0,none,knn_sorensen,7.0,3.904596328735352,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,0.0262096774193548,eduroam,-100,0,none,knn_sorensen,9.0,3.8964118957519536,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,0.7869045730143945,eduroam,-100,0,none,svm_linear,0.001,4.018036842346192,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,0.816019467403488,eduroam,-100,0,none,svm_linear,0.005,4.009578704833984,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,0.7702055060691066,eduroam,-100,0,none,svm_rbf,5.0,3.9244003295898433,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,0.7747465603023119,eduroam,-100,0,none,svm_rbf,1.0,3.949563980102539,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,674,WH_C_640,36,WH_C_640,0.7730288983119792,eduroam,-100,0,none,svm_rbf,0.5,3.8999280929565425,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,537,WH_C_457,27,WH_C_457,14.071247279470288,all,-100,0,none,knn_euclidean,5.0,3.9313478469848633,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,537,WH_C_457,27,WH_C_457,14.071247279470288,all,-100,0,none,knn_euclidean,7.0,3.931051254272461,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,537,WH_C_457,27,WH_C_457,14.071247279470288,all,-100,0,none,knn_euclidean,9.0,3.907527923583984,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,537,WH_C_457,27,WH_C_457,0.0292598967297762,all,-100,0,none,knn_sorensen,5.0,3.9168081283569336,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,537,WH_C_457,27,WH_C_457,0.0292598967297762,all,-100,0,none,knn_sorensen,7.0,3.906416893005371,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,537,WH_C_457,27,WH_C_458,0.0292598967297762,all,-100,0,none,knn_sorensen,9.0,3.99459171295166,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,537,WH_C_457,27,WH_C_457,0.4503118000306209,all,-100,0,none,svm_linear,0.001,3.9398918151855473,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,537,WH_C_457,27,WH_C_457,0.4149551918316644,all,-100,0,none,svm_linear,0.005,3.853127479553222,True
