device_id,measurement_id,room_name,room_id,predict_room,distance,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,weights,algorithm,algorithm_value,duration,correct
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,28.284271247461906,all,-100,0,-100,none,distance,knn_euclidean,1.0,4.238792419433594,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,28.284271247461906,all,-100,0,-100,none,distance,knn_euclidean,3.0,4.1684160232543945,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,28.284271247461906,all,-100,0,-100,none,distance,knn_euclidean,5.0,3.949864387512207,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,28.284271247461906,all,-100,0,-100,none,distance,knn_euclidean,7.0,3.9044160842895503,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,28.284271247461906,all,-100,0,-100,none,distance,knn_euclidean,9.0,3.904192924499512,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,28.284271247461906,all,-100,0,-100,none,distance,knn_euclidean,11.0,9.09585666656494,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,28.284271247461906,all,-100,0,-100,none,distance,knn_euclidean,13.0,12.935263633728027,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,28.284271247461906,all,-100,0,-100,none,distance,knn_euclidean,15.0,4.095620155334473,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_402,0.0350719424460431,all,-100,0,-100,none,distance,knn_sorensen,1.0,3.8730077743530273,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,0.0350719424460431,all,-100,0,-100,none,distance,knn_sorensen,3.0,3.982233047485352,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,0.0350719424460431,all,-100,0,-100,none,distance,knn_sorensen,5.0,3.808075904846192,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,0.0350719424460431,all,-100,0,-100,none,distance,knn_sorensen,7.0,3.925227165222168,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,0.0350719424460431,all,-100,0,-100,none,distance,knn_sorensen,9.0,3.8922557830810542,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,0.0350719424460431,all,-100,0,-100,none,distance,knn_sorensen,11.0,3.9391689300537105,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,0.0350719424460431,all,-100,0,-100,none,distance,knn_sorensen,13.0,3.895243644714355,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,0.0350719424460431,all,-100,0,-100,none,distance,knn_sorensen,15.0,3.899131774902344,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,0.6344629845158132,all,-100,0,-100,none,distance,svm_linear,0.001,3.9869232177734375,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,0.6776500481946937,all,-100,0,-100,none,distance,svm_linear,0.005,3.909547805786133,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,0.658363459238166,all,-100,0,-100,none,distance,svm_linear,0.01,3.933835983276367,True
