device_id,measurement_id,room_name,room_id,predict_room,distance,router_selection,handle_missing_values_strategy,router_rssi_threshold,value_scaling_strategy,weights,algorithm,algorithm_value,duration,correct
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_442,8.366600265340756,eduroam,-100,-100,none,distance,knn_euclidean,5.0,4.174415588378906,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_442,8.366600265340756,eduroam,-100,-100,none,distance,knn_euclidean,7.0,3.9284992218017583,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_442,8.366600265340756,eduroam,-100,-100,none,distance,knn_euclidean,9.0,3.9561042785644527,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_442,0.0241935483870967,eduroam,-100,-100,none,distance,knn_sorensen,5.0,3.9069404602050786,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_442,0.0241935483870967,eduroam,-100,-100,none,distance,knn_sorensen,7.0,3.9500675201416016,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_442,0.0241935483870967,eduroam,-100,-100,none,distance,knn_sorensen,9.0,3.861907958984375,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_444,0.5398929509531877,eduroam,-100,-100,none,distance,svm_linear,0.001,3.8935480117797856,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_444,0.511452366217382,eduroam,-100,-100,none,distance,svm_linear,0.005,3.875288009643555,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_444,0.4909726362392851,eduroam,-100,-100,none,distance,svm_linear,0.01,3.9025478363037105,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_444,0.5130969748310206,eduroam,-100,-100,none,distance,svm_rbf,5.0,3.869194984436035,False
