device_id,measurement_id,room_name,room_id,predict_room,distance,optional_value,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,max_depth,algorithm,algorithm_value,duration,correct
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.3,-1,all,-100,0,-100,none,9,random_forest,10,3.900392532348633,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.55,-1,all,-100,0,-100,none,9,random_forest,20,3.8677158355712895,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.6,-1,all,-100,0,-100,none,9,random_forest,30,3.8608722686767583,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.675,-1,all,-100,0,-100,none,9,random_forest,40,3.859807968139648,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.66,-1,all,-100,0,-100,none,9,random_forest,50,3.858240127563477,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.4333333333333333,-1,all,-100,0,-100,none,9,random_forest,60,3.9972152709960938,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.6285714285714286,-1,all,-100,0,-100,none,9,random_forest,70,3.9388370513916016,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.6125,-1,all,-100,0,-100,none,9,random_forest,80,3.998868942260742,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.5111111111111111,-1,all,-100,0,-100,none,9,random_forest,90,3.9838352203369136,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.54,-1,all,-100,0,-100,none,9,random_forest,100,4.12462043762207,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.53,-1,all,-100,0,-100,none,9,random_forest,200,4.1799116134643555,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.6033333333333334,-1,all,-100,0,-100,none,9,random_forest,300,4.298720359802246,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.565,-1,all,-100,0,-100,none,9,random_forest,400,4.50721549987793,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.586,-1,all,-100,0,-100,none,9,random_forest,500,4.5824079513549805,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.5766666666666667,-1,all,-100,0,-100,none,9,random_forest,600,4.863951683044434,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.5928571428571429,-1,all,-100,0,-100,none,9,random_forest,700,5.350908279418945,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.59625,-1,all,-100,0,-100,none,9,random_forest,800,5.109039306640625,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.5811111111111111,-1,all,-100,0,-100,none,9,random_forest,900,5.307024002075195,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,610,WH_C_606,30,WH_C_606,0.587,-1,all,-100,0,-100,none,9,random_forest,1000,5.454891204833984,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.6,-1,all,-100,0,-100,none,9,random_forest,10,3.979548454284668,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.6,-1,all,-100,0,-100,none,9,random_forest,20,3.879927635192871,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.6333333333333333,-1,all,-100,0,-100,none,9,random_forest,30,3.9707441329956055,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.6,-1,all,-100,0,-100,none,9,random_forest,40,4.044939041137695,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.64,-1,all,-100,0,-100,none,9,random_forest,50,4.028236389160156,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.6833333333333333,-1,all,-100,0,-100,none,9,random_forest,60,4.717740058898926,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.7714285714285715,-1,all,-100,0,-100,none,9,random_forest,70,4.472840309143066,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.7625,-1,all,-100,0,-100,none,9,random_forest,80,4.355423927307129,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.7111111111111111,-1,all,-100,0,-100,none,9,random_forest,90,3.9666881561279297,True
