device_id,measurement_id,room_name,room_id,predict_room,distance,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,weights,algorithm,algorithm_value,duration,correct
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,uniform,knn_euclidean,1,3.934916496276856,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,uniform,knn_euclidean,5,3.7874755859375,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,uniform,knn_euclidean,7,3.9182519912719727,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,uniform,knn_euclidean,9,4.06085205078125,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,uniform,knn_euclidean,11,3.962023735046387,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,uniform,knn_euclidean,13,4.120148658752441,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,uniform,knn_euclidean,15,3.934835433959961,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,uniform,knn_euclidean,17,3.9063644409179688,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,uniform,knn_euclidean,19,3.7946252822875977,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,uniform,knn_sorensen,1,3.873867988586426,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,uniform,knn_sorensen,5,3.883564949035645,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,uniform,knn_sorensen,7,3.8787679672241215,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,uniform,knn_sorensen,9,3.8189954757690434,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,uniform,knn_sorensen,11,3.9232120513916016,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,uniform,knn_sorensen,13,3.90412712097168,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,uniform,knn_sorensen,15,3.856667518615723,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,uniform,knn_sorensen,17,3.9595718383789062,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,uniform,knn_sorensen,19,3.8860273361206055,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,distance,knn_euclidean,1,3.7817888259887695,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,distance,knn_euclidean,5,3.778964042663574,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,distance,knn_euclidean,7,4.068019866943359,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,distance,knn_euclidean,9,3.941076278686523,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,distance,knn_euclidean,11,3.8214073181152344,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,distance,knn_euclidean,13,3.9602756500244145,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,distance,knn_euclidean,15,3.92476749420166,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,distance,knn_euclidean,17,3.776444435119629,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,1.4142135623730951,all,-100,0,-100,none,distance,knn_euclidean,19,3.9233160018920894,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,distance,knn_sorensen,1,3.8347349166870113,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,distance,knn_sorensen,5,3.7902412414550786,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,distance,knn_sorensen,7,3.7835721969604497,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,distance,knn_sorensen,9,3.9459609985351567,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,distance,knn_sorensen,11,3.9279394149780273,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,distance,knn_sorensen,13,3.9616727828979488,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,distance,knn_sorensen,15,3.9124794006347656,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,distance,knn_sorensen,17,3.8261194229125977,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,10,WH_C_334,1,WH_C_334,0.0036764705882352,all,-100,0,-100,none,distance,knn_sorensen,19,5.0648908615112305,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,143,WH_C_353,7,WH_C_624,53.62835071116769,all,-100,0,-100,none,uniform,knn_euclidean,1,3.911724090576172,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,143,WH_C_353,7,WH_C_335,53.62835071116769,all,-100,0,-100,none,uniform,knn_euclidean,5,3.891875267028808,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,143,WH_C_353,7,WH_C_334,53.62835071116769,all,-100,0,-100,none,uniform,knn_euclidean,7,3.7515726089477535,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,143,WH_C_353,7,WH_C_334,53.62835071116769,all,-100,0,-100,none,uniform,knn_euclidean,9,3.8073873519897456,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,143,WH_C_353,7,WH_C_334,53.62835071116769,all,-100,0,-100,none,uniform,knn_euclidean,11,3.917416572570801,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,143,WH_C_353,7,WH_C_335,53.62835071116769,all,-100,0,-100,none,uniform,knn_euclidean,13,3.9787416458129887,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,143,WH_C_353,7,WH_C_335,53.62835071116769,all,-100,0,-100,none,uniform,knn_euclidean,15,3.8527240753173824,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,143,WH_C_353,7,WH_C_335,53.62835071116769,all,-100,0,-100,none,uniform,knn_euclidean,17,3.8382644653320312,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,143,WH_C_353,7,WH_C_335,53.62835071116769,all,-100,0,-100,none,uniform,knn_euclidean,19,3.8026638031005855,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,143,WH_C_353,7,WH_C_335,0.0501225217197594,all,-100,0,-100,none,uniform,knn_sorensen,1,3.8607254028320312,False
