device_id,measurement_id,room_name,room_id,predict_room,distance,optional_value,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,gamma_value,algorithm,algorithm_value,duration,correct
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,367,WH_C_424,19,WH_C_335,0.2570229251785651,-1,all,-100,0,-100,none,1,random_forest,1.0,4.375423431396484,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,367,WH_C_424,19,WH_C_424,0.6288695108337492,-1,all,-100,0,-100,none,1,random_forest,3.0,4.26380729675293,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,367,WH_C_424,19,WH_C_424,0.679923076923077,-1,all,-100,0,-100,none,1,random_forest,5.0,4.314115524291992,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,367,WH_C_424,19,WH_C_424,0.71,-1,all,-100,0,-100,none,1,random_forest,7.0,4.303675651550293,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,367,WH_C_424,19,WH_C_424,0.65,-1,all,-100,0,-100,none,1,random_forest,9.0,4.41693115234375,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,367,WH_C_424,19,WH_C_424,0.6933333333333334,-1,all,-100,0,-100,none,1,random_forest,11.0,4.335904121398926,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,367,WH_C_424,19,WH_C_424,0.6966666666666667,-1,all,-100,0,-100,none,1,random_forest,13.0,4.32706356048584,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,367,WH_C_424,19,WH_C_424,0.71,-1,all,-100,0,-100,none,1,random_forest,15.0,4.373300552368164,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,367,WH_C_424,19,WH_C_424,0.7066666666666667,-1,all,-100,0,-100,none,1,random_forest,17.0,4.394448280334473,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,367,WH_C_424,19,WH_C_424,0.6766666666666666,-1,all,-100,0,-100,none,1,random_forest,19.0,4.395709037780762,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,367,WH_C_424,19,WH_C_424,0.7166666666666667,-1,all,-100,0,-100,none,1,random_forest,21.0,4.358515739440918,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,367,WH_C_424,19,WH_C_424,0.72,-1,all,-100,0,-100,none,1,random_forest,,4.354907989501954,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,219,WH_C_357,11,WH_C_357,0.2046275337200185,-1,all,-100,0,-100,none,1,random_forest,1.0,4.293831825256348,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,219,WH_C_357,11,WH_C_357,0.5930340314077355,-1,all,-100,0,-100,none,1,random_forest,3.0,4.29909610748291,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,219,WH_C_357,11,WH_C_357,0.6842925685425685,-1,all,-100,0,-100,none,1,random_forest,5.0,4.391136169433594,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,219,WH_C_357,11,WH_C_357,0.7333333333333333,-1,all,-100,0,-100,none,1,random_forest,7.0,4.30909252166748,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,219,WH_C_357,11,WH_C_357,0.68,-1,all,-100,0,-100,none,1,random_forest,9.0,4.314720153808594,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,219,WH_C_357,11,WH_C_357,0.6666666666666666,-1,all,-100,0,-100,none,1,random_forest,11.0,4.325847625732423,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,219,WH_C_357,11,WH_C_357,0.6966666666666667,-1,all,-100,0,-100,none,1,random_forest,13.0,4.407952308654785,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,219,WH_C_357,11,WH_C_357,0.69,-1,all,-100,0,-100,none,1,random_forest,15.0,4.371235847473144,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,219,WH_C_357,11,WH_C_357,0.6766666666666666,-1,all,-100,0,-100,none,1,random_forest,17.0,4.350460052490234,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,219,WH_C_357,11,WH_C_357,0.7166666666666667,-1,all,-100,0,-100,none,1,random_forest,19.0,4.371252059936523,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,219,WH_C_357,11,WH_C_357,0.7,-1,all,-100,0,-100,none,1,random_forest,21.0,4.364819526672363,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,219,WH_C_357,11,WH_C_357,0.6866666666666666,-1,all,-100,0,-100,none,1,random_forest,,4.366636276245117,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,673,WH_C_640,36,WH_C_640,0.1727518326953029,-1,all,-100,0,-100,none,1,random_forest,1.0,4.37459659576416,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,673,WH_C_640,36,WH_C_640,0.514650765844547,-1,all,-100,0,-100,none,1,random_forest,3.0,4.289360046386719,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,673,WH_C_640,36,WH_C_640,0.6679819510554805,-1,all,-100,0,-100,none,1,random_forest,5.0,4.30201244354248,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,673,WH_C_640,36,WH_C_640,0.6709007936507936,-1,all,-100,0,-100,none,1,random_forest,7.0,4.352255821228027,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,673,WH_C_640,36,WH_C_640,0.725,-1,all,-100,0,-100,none,1,random_forest,9.0,4.290504455566406,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,673,WH_C_640,36,WH_C_640,0.7233333333333334,-1,all,-100,0,-100,none,1,random_forest,11.0,4.254324913024902,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,673,WH_C_640,36,WH_C_640,0.7033333333333334,-1,all,-100,0,-100,none,1,random_forest,13.0,4.293120384216309,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,673,WH_C_640,36,WH_C_640,0.7066666666666667,-1,all,-100,0,-100,none,1,random_forest,15.0,4.28026008605957,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,673,WH_C_640,36,WH_C_640,0.6733333333333333,-1,all,-100,0,-100,none,1,random_forest,17.0,4.279623985290527,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,673,WH_C_640,36,WH_C_640,0.6566666666666666,-1,all,-100,0,-100,none,1,random_forest,19.0,4.2654876708984375,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,673,WH_C_640,36,WH_C_640,0.6366666666666667,-1,all,-100,0,-100,none,1,random_forest,21.0,4.274152755737305,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,673,WH_C_640,36,WH_C_640,0.71,-1,all,-100,0,-100,none,1,random_forest,,4.265397071838379,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_444,0.5252276676732431,-1,all,-100,0,-100,none,1,random_forest,1.0,4.293983459472656,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_442,0.7875773439523439,-1,all,-100,0,-100,none,1,random_forest,3.0,4.2884674072265625,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_442,0.8433333333333334,-1,all,-100,0,-100,none,1,random_forest,5.0,4.509000778198241,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_442,0.8433333333333334,-1,all,-100,0,-100,none,1,random_forest,7.0,4.327576637268066,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_442,0.84,-1,all,-100,0,-100,none,1,random_forest,9.0,4.372899055480957,True
